Repositório,Descrição,URL,Limite de tamanho por arquivo,Limite de tamanho por repositório,Limite de quantidade de arquivos por repositório,Características principais
Zenodo,Mantido pelo CERN; suporta dados de todas as áreas de pesquisa,[zenodoorg](https://zenodoorg),Até 50 GB por arquivo,Sem limite explícito para o conjunto de dados; mas sujeito a políticas de uso justo,Não especificado,Integração com GitHub; atribuição de DOI; compartilhamento gratuito
Figshare,Compartilhamento de dados de pesquisa; documentos; apresentações e mais,[figsharecom](https://figsharecom),Até 5 GB por arquivo para usuários gratuitos; até 20 GB para usuários institucionais,Limite total de armazenamento de 20 GB para usuários gratuitos; ilimitado para usuários institucionais,Mais de 1;4 milhões de conjuntos de dados,Fácil visualização de arquivos; suporte para muitos formatos; atribuição de DOI
Dryad,Voltado para dados associados a artigos científicos,[datadryadorg](https://datadryadorg),Até 10 GB por arquivo; arquivos maiores podem ser considerados mediante solicitação,Sem limite explícito; mas taxas adicionais podem ser aplicadas para grandes volumes de dados,Não especificado,Focado em dados biológicos e ambientais; metadados detalhados; requer taxa para publicação em alguns casos
Open Science Framework (OSF),Repositório e plataforma colaborativa para projetos científicos,[osfio](https://osfio),Até 5 GB por arquivo,Limite total de armazenamento de 50 GB para usuários gratuitos; planos pagos disponíveis para mais armazenamento,Não especificado,Integração com ferramentas como GitHub; Google Drive e Dropbox; suporte para projetos interdisciplinares
Harvard Dataverse,Parte do Dataverse Project; suporta múltiplas disciplinas,[dataverseharvardedu](https://dataverseharvardedu),Até 2 GB por arquivo; arquivos maiores podem ser carregados via API ou ferramentas especializadas,Sem limite explícito para o conjunto de dados,Mais de 52 mil estudos com mais de 725 mil arquivos,Metadados detalhados; foco em dados de pesquisa; gratuito para compartilhar
Mendeley Data,Plataforma para compartilhar conjuntos de dados em diversos formatos,[datamendeleycom](https://datamendeleycom),Até 10 GB por conjunto de dados para contas pessoais; até 100 GB para contas institucionais,Até 10 GB por conjunto de dados para contas pessoais; até 100 GB para contas institucionais,Não especificado,Oferecido pela Elsevier; integração com artigos científicos publicados na plataforma
PANGAEA,Repositório para dados de ciências da Terra e meio ambiente,[pangaeade](https://wwwpangaeade),Não especificado publicamente; recomenda-se contato para dados muito grandes,Sem limite explícito; mas grandes volumes devem ser discutidos com os administradores,Não especificado,Focado em dados ambientais; integração com artigos científicos e periódicos específicos
ScienceBase,Repositório para dados ambientais e geológicos; mantido pelo USGS,[sciencebasegov](https://wwwsciencebasegov),Não especificado publicamente,Não especificado publicamente,Não especificado,Focado em dados geoespaciais; suporte para diversas áreas ambientais
Kaggle Datasets,Plataforma para compartilhamento de conjuntos de dados,[kagglecom/datasets](https://wwwkagglecom/datasets),Até 20 GB por arquivo,Limite total de 100 GB por conjunto de dados,Não especificado,Popular entre cientistas de dados; fácil acesso a dados para aprendizado de máquina e análise
DataCite Search,Agregador de repositórios que utilizam DOIs para dados científicos,[searchdataciteorg](https://searchdataciteorg),Não aplicável,Não aplicável,Indexa mais de 20 milhões de conjuntos de dados,Permite localizar conjuntos de dados em múltiplos repositórios
